,z,cps_name,lib_obs,source,source_name,ObsAdded,Assigned to,Observed,TIC,Teff,u_Teff,radius,u_radius,logg,u_logg,feh,u_feh,mass,u_mass,age,u_age,vsini,Plx,u_Plx,Plx_source,Vmag,snr,ra,dec,simbadname,,
83,401,HIP57087,rj06.1488,Von Braun,GJ436,1,AL,2,138819293,3416,53,0.455,0.018,4.83,0.03,0.04,0.1,0.45,0.03,9.62,0.52,,102.58,0.31,Gaia,10.613,112.768,175.5462217,26.70657028,GJ_436,9.59,0.0008
80,396,GL687,rj172.1087,Von Braun,GJ687,1,AL,1,233193964,3413,28,0.418,0.007,4.85,0.01,-0.09,0.1,0.43,0.01,9.59,0.52,,220.02,0.39,Gaia,9.15,163.397,264.1079138,68.33914083,GJ_687,-28.65,0.0002
67,340,173739,rj55.1240,Von Braun,GJ725A,1,AL,,359676790,3407,15,0.356,0.004,4.9,0.01,-0.49,0.1,0.36,0.01,9.83,0.48,,283.54,0.41,Gaia,8.91,174.094,280.6945988,59.63037972,GJ_725_A,-0.58,0.0002
21,265,GL109,rj78.491,Mann,Gl 109,1,AL,1,436856183,3405,60,0.364,0.014,4.852,0.049,-0.1,0.08,0.343,0.034,9.72,0.51,,132.42,2.48,Hipparcos,10.563,150.122,41.06462098,25.52336356,GJ_109,30.64,0.0007
64,308,HIP91699,rj153.114,Mann,GJ 4070,1,AL,,68396286,3400,61,0.394,0.019,4.814,0.053,-0.16,0.08,0.369,0.037,9.75,0.51,,92.84,0.26,Gaia,11.3,109.828,280.4959765,31.83049006,GJ_4070,-31.64,0.0014
48,292,HIP23512,rj222.99,Mann,GJ 3325,1,SK,1,169304560,3365,60,0.284,0.013,4.95,0.051,-0.12,0.08,0.262,0.026,9.75,0.52,,107.93,0.34,Gaia,11.735,119.224,75.83368995,-17.37353948,GJ_3325,15.57,0.0018
51,295,HIP37217,rj15.564,Mann,GJ 3459,1,SK,,415085843,3358,60,0.315,0.016,4.904,0.053,-0.18,0.08,0.29,0.029,9.81,0.51,,92.15,2.99,Hipparcos,11.712,119.233,114.6706517,-21.22458461,GJ_3459,-28.903,0.002
37,281,GL896A,rj193.921,Mann,Gl 896A,1,SK,,247985094,3353,60,0.409,0.016,4.794,0.05,0.03,0.08,0.379,0.038,9.76,0.51,,,,None,10.173,158.121,352.9673833,19.93729444,GJ_896_A,0.31,0.0025
42,286,HIP115332,rj222.273,Mann,GJ 4333,1,SK,,435198528,3324,60,0.416,0.02,4.792,0.052,0.24,0.08,0.391,0.039,9.68,0.52,,93.5,3.58,Hipparcos,11.71,109.903,350.4060414,17.29038672,GJ_4333,-6.31,0.001
25,269,GL273,rj82.219,Mann,Gl 273,1,SK,1,318686860,3317,60,0.315,0.012,4.894,0.049,-0.11,0.08,0.283,0.028,9.85,0.49,,263.26,1.43,Hipparcos,9.872,161.878,111.8520823,5.22578699,GJ_273,18.36,0.0003
56,300,HIP57050,rj82.247,Mann,GJ 1148,1,SK,1,115869504,3304,61,0.376,0.018,4.814,0.053,0.07,0.08,0.336,0.034,9.78,0.51,,90.94,0.42,Gaia,11.959,129.927,175.435973,42.75197442,GJ_1148,-8.99,0.0014
20,264,GL105B,rj15.1926,Mann,Gl 105 B,1,SK,1,278962913,3284,60,0.278,0.01,4.941,0.049,-0.12,0.03,0.246,0.025,9.85,0.51,,,,None,11.664,103.877,39.063987,6.871984,GJ_105_B,26.268,0.0017
19,263,GJ628,rj209.268,Mann,Gl 628,1,SK,1,413948621,3272,60,0.325,0.012,4.883,0.048,-0.03,0.08,0.294,0.029,9.85,0.48,,232.29,0.49,Gaia,10.072,108.269,247.5752433,-12.66259028,GJ_628,-21.17,0.0003
81,397,GL699,rj20.452,Von Braun,GJ699,In commissioning,SK,1,325554331,3222,10,0.187,0.001,5.11,0.01,-0.39,0.1,0.16,0,9.61,0.54,,549.01,1.58,Hipparcos,9.511,172.431,269.4520751,4.69339088,GJ_699,-110.11,0.0002
10,254,1326B,rj124.340,Mann,Gl 15B,1,SK,1,440109718,3218,60,0.192,0.008,5.072,0.051,-0.3,0.08,0.159,0.016,9.64,0.53,,,,None,11.04,152.603,4.606242,44.027122,GJ_15_B,11.17,0.0007
62,306,HIP71253,rj222.752,Mann,Gl 555,1,SK,1,294401924,3211,60,0.31,0.013,4.892,0.05,0.17,0.08,0.273,0.027,9.89,0.49,,159.13,0.94,Gaia,11.317,124.28,218.5700493,-12.51955458,GJ_555,-1.28,0.0006
57,301,HIP57548,rj06.1485,Mann,Gl 447,1,SK,,325275315,3192,60,0.197,0.008,5.076,0.05,-0.02,0.08,0.168,0.017,9.62,0.53,,295.8,0.54,Gaia,11.153,89.286,176.9349892,0.80455417,GJ_447,-30.66,0.0005
82,400,GL876,rj45.596,Von Braun,GJ876,1,SK,1,188580272,3129,19,0.376,0.006,4.88,0.01,0.19,0.1,0.35,0.01,10.09,0.41,,214.05,0.97,Gaia,10.192,172.906,343.319723,-14.26369961,LHS_530,-1.47,0.0003
68,341,173740,rj55.1241,Von Braun,GJ725B,1,SK,,392572237,3104,28,0.323,0.006,4.92,0.01,-0.36,0.1,0.3,0.01,10.01,0.36,,286.39,0.83,Gaia,9.69,170.074,280.6953979,59.62688417,GJ_725_B,1.19,0.0003
34,278,GL83.1,rj222.304,Mann,Gl 83.1,1,SK,2,404715018,3080,60,0.187,0.01,5.053,0.053,-0.16,0.08,0.144,0.014,9.68,0.53,,,,None,12.298,87.28,30.05399583,13.05194722,LHS_11,-28.34,0.001
55,299,HIP5643,rj222.76,Mann,Gl 54.1,1,SK,,439403362,3056,60,0.168,0.009,5.102,0.053,-0.26,0.08,0.13,0.013,9.61,0.52,,269.05,7.57,Hipparcos,12.074,109.043,18.12766325,-16.99898203,GJ_54.1,28.27,0.0008
,,,,,,,Total observed:,53,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,No RV precision requirement,,,,,,,,,,,,,,,,,,,,,,,,,,,
